대여소 번호,보관소(대여소)명,자치구,상세주소,위도,경도,설치시기,LCD,QR,운영 방식
1870,독산3동주민센터 앞,금천구,독산로 317,37.475071,126.903359,2020-02-26,0.0,8.0,QR
1696,수락리버시티4단지,노원구,상계동 1195-1 ,37.686451,127.052834,2020-03-21,0.0,10.0,QR
1697,상계주공2단지 219동,노원구,상계동 740 ,37.650249,127.057152,2020-03-23,0.0,10.0,QR
1700,상계보람아파트 202동 ,노원구,상계동 456-23  ,37.665215,127.066139,2020-03-23,0.0,15.0,QR
2901,공릉동풍림아파트 101동,노원구,노원구 섬밭로 139,37.630001,127.065682,2020-03-24,0.0,8.0,QR
2902,공릉풍림아파트 108동,노원구,노원구 섬밭로 139,37.62862,127.06691,2020-03-24,0.0,12.0,QR
2903,월계초안아파트 1단지,노원구,노원구 덕릉로60길 185,37.633259,127.0439,2020-03-24,0.0,10.0,QR
2904,중계3차청구아파트,노원구,노원구 중계로 225,37.650505,127.073982,2020-03-24,0.0,8.0,QR
2905,중계주공6단지,노원구,노원구 한글비석로8길 41,37.648163,127.078987,2020-03-26,0.0,10.0,QR
2907, 월계중학교,노원구, 서울특별시 노원구 월계로45가길 54,37.630749,127.053108,2020-03-24,0.0,25.0,QR
2908, 광운대학교 중앙도서관,노원구, 서울 노원구 광운로 20,37.620003,127.058563,2020-03-24,0.0,20.0,QR
2909, 석계역 3번 출구,노원구, 서울 노원구 월계동,37.615459,127.067452,2020-03-25,0.0,10.0,QR
2910,도깨비시장,노원구, 노원구 동일로 1028,37.622093,127.074425,2020-03-25,0.0,10.0,QR
2911,상계역중앙시장,노원구, 서울 노원구 상계로27길 20,37.659233,127.072098,2020-03-23,0.0,30.0,QR
2912,대진고등학교,노원구, 서울 노원구 공릉로62가길 47,37.638191,127.073731,2020-03-23,0.0,20.0,QR
2913,상계8동 주민센터,노원구,서울시 노원구 동일로227길 85,37.666996,127.051529,2020-03-23,0.0,15.0,QR
2914,서울과학기술대학교(미래관),노원구,노원구 공릉동 172 ,37.628925,127.081429,2020-06-10,0.0,20.0,QR
2915,서울과학기술대학교(어학교육원),노원구,노원구 공릉동 172 ,37.635109,127.076599,2020-03-24,0.0,20.0,QR
2917,신창중학교 후문 맞은편 버스정류장,노원구,서울 노원구 월계로45길 92,37.628071,127.046921,2020-03-30,0.0,10.0,QR
